Title,review_LD,exclude_LD,Reason_LD,exclusion_reason,count_reasons
'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,FALSE,NA,NA,BiodivOnly,1
"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",FALSE,NA,NA,SocialOnly,1
A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,TRUE,TRUE,Q3 - Nick review,ReviewOnly,1
A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,TRUE,TRUE,Q3 - Framework/method,ReviewOnly,1
A global quantitative synthesis of local and landscape effects on wild bee pollinators in agroecosystems,FALSE,NA,NA,ReviewOnly,1
Accounting for residential propagule pressure improves prediction of urban plant invasion,TRUE,TRUE,Q1,BiodivOnly,1
An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,TRUE,TRUE,Q3 - Methods,ReviewOnly,1
"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City",TRUE,TRUE,noprocess measured,noprocess measured,1
Aquatic biodiversity in forests: a weak link in ecosystem services resilience,FALSE,NA,NA,ReviewOnly,1
Arable weeds as indicators of agricultural intensity - A case study from Finland,TRUE,TRUE,weed and crop pest species,weed and crop pest species,1
Assessing carbon sequestration of silvopastoral tropical landscapes using optical remote sensing and field measurements,FALSE,NA,NA,ReviewOnly,1
Assessing methods for comparing species diversity from disparate data sources: the case of urban and peri-urban forests,FALSE,NA,NA,BiodivOnly,2
Assessing methods for comparing species diversity from disparate data sources: the case of urban and peri-urban forests,FALSE,NA,NA,ReviewOnly,2
Assessment of the relationship between ecosystem services and human wellbeing in the social-ecological landscapes of Lefke Region in North Cyprus,FALSE,NA,NA,SocialOnly,1
At what spatial scale do high-quality habitats enhance the diversity of forbs and pollinators in intensively farmed landscapes?,FALSE,NA,NA,BiodivOnly,1
Avian response to shade-layer restoration in coffee plantations in Puerto Rico,FALSE,NA,NA,BiodivOnly,1
"Beyond services: A process and framework to incorporate cultural, genealogical, place-based, and indigenous relationships in ecosystem service assessments",FALSE,NA,NA,SocialOnly,1
"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",TRUE,TRUE,Q1,BiodivOnly,1
Biodiversity response to natural gradients of multiple stressors on continental margins,FALSE,NA,NA,BiodivOnly,1
Biotic homogenization of regional wetland plant communities within short time-scales in the presence of an aggressive invader,FALSE,NA,NA,BiodivOnly,1
"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",TRUE,TRUE,Q1,BiodivOnly,1
"Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China",TRUE,TRUE,"No EF/ES, should be excluded in R1","No EF/ES, should be excluded in R1",1
"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",TRUE,TRUE,perception,SocialOnly,1
Community-driven skyrise greenery in a dense tropical city provides biodiversity and ecosystem service benefits,TRUE,TRUE,Q1,BiodivOnly,1
Complementary crops and landscape features sustain wild bee communities,FALSE,NA,NA,BiodivOnly,1
"Conserving agrobiodiversity amid global change, migration, and nontraditional livelihood networks: the dynamic uses of cultural landscape knowledge",FALSE,NA,NA,SocialOnly,1
Contrasting the distribution of butterflies and termites in plantations and tropical forests,FALSE,NA,NA,BiodivOnly,1
